State,year_low,SV_range_low,SV_predom_low,SV_%_low,RV_range_low,RV_predom_low,RV_%_low,year_current,SV_range_current,SV_predom_current,SV_%_current,RV_range_current,RV_predom_current,RV_%_current,Peak_Sale,Peak_Sale%,Peak_Rental,Peak_Rental_%,occup_Land,occup_dwell,occup_home,sales_a,sales_b,sales_c,rental_a,rental_b,rental_c,const_types,const_amount,home_pur,home_build,Ten_Fifteen_Desirability,Remarks,inform,Date
Ohio,1932,1000-1800,1000,40%,10 - 15,12,60%,NA,1100-2100,1200,48%,15 - 30,20,100%,1929,NA,1929,NA,82,100,75,Slight,5-rm singles $1500,None,Fair,Singles $15 - 20,Fair,No,No,Limited,None,Static,Section was built arund old Western Reserve Steel Mill. This mill is gone now. This section probably worst in the city.,Tom Boyle,10-28-37
Ohio,1932,800-1500,800,53.30%,5 - 15,7.5,37.50%,NA,1500-1800,1500,100%,20 - 25,20,100%,1929,NA,NA,NA,75,100,80,Yes,Singles about $1500,Very slight,Yes,Singles $20,Slight,None,None,Limited,None,Static,Warren City Tank & Boiler Company has office south central section of this area. Loan commitments about 20% of appraisals here. Area has slight tendency to increase of colored population.,Tom Boyle,10-26-37
Pennsylvania,1923 - 34,"8,000-15,000","11,000",57,65-100,80,NA,Sept. 1937,"9,500-20,000","14,000",73,65-100,80,NA,NA,NA,NA,NA,30,100,85-90,Poor,NA,Poor,Good,Anything up to $100,Good,None,NA,Yes - FEA,NA,Upward,Only 2 sales in past five years have been made in this section. This section is a good first grade neighborhood well protected against undesireable encroachment. Houses are built on large lots and set well back from the street.,"Chas. McVey-Property Management Broker HOLC, Paul H. Faris Local realtor and Correspondent Prudential Ins. Co.",NA
Pennsylvania,1932-34,"4500-15,000","10,000",63,35-90,50,62,Sept. '37,"5000-20,000","12,500",75,40-100,65,80,NA,NA,NA,NA,70,100,90,Poor,Na,Poor,Good,Anything,Fair,None,None,Yes FHA,NA,Static to slightly upward,"This section is similar in general character to section A-1, although somewhat older and more extensively developed. Additional building will ensue in this neighborhood as general economic conditions improve.",NA,NA
Pennsylvania,1932-34,3500-7500,4500,60,30-40,35,NA,Sept. '37,4500-8500,5500,75,35-50,40,NA,NA,NA,NA,NA,70,100,80,Poor,NA,Poor,Good,Anything,Good,None,None,Yes FHA,NA,Static,This is a good second grade section which is well protected against undesirable encroachment. Mortgage money would certainly be available on favorable terms if the local institutions were in a position to loan. This neighborhood is distinctly suburban in character with houses fairly well spaced.,NA,NA
Pennsylvania,1932-34,3500-13000,"9,000",60,30-65,40,55,Sept. '37,"4500-16,000","10,000",67,35-75,50,67,NA,NA,NA,NA,75,100,90,Poor,NA,Poor,Good,Anything,Good,None,NA,Yes FHA only,NA,Static,"In point of desirability this is a first grade section, but in view of age and general appearance of the housing the section rates only good second grade. Area enjoys a good reputation and is similar in general character to section A-1, but ground values are lower and the housing is not kept in as fine condition. A foreign section backs up to Ruskin Ave. properties, but is reputed to have little affect on this neighborhood.",NA,NA
Pennsylvania,1932-34,"3000-10,000",5500,58,25-50,35,65,Sept. '37,"4200-12,000",6500,70,35-65,45,80,NA,NA,NA,NA,90,100,50,Poor,NA,Poor,Good,Anything,Good,None,None,Yes FHA,NA,Static,Upper end of the section is better. Executives of two new factories (Glass plant & silk mill) are locating in this section. Houses are substantially build and well spaced.,NA,NA
Pennsylvania,1932-34,"3,000-15,000","6,000",60,20-50,30,50,Sept 1937,"3,000-18,000","6,500",65,28-70,40,67,NA,NA,NA,NA,100,100,70,Poor,NA,Poor,Good,Anything,Good,No,None,None,NA,Downward slowly,An old section of Altonna which continues to enjoy a good reputation. Some converted houses in the area. Cheaper units are distress property. Financing through F. H. A. is not available because of small lots. Many old families still residing in orginial houses. A fair to poor second grade section which has retained its residential desirability.,NA,NA
Pennsylvania,1932-34,"3500-7,500","6,500",65,30-60,35,60,1937,"4500-10,000","8,500",85,35-70,45,67,NA,NA,NA,NA,90,100,90,Poor,NA,Poor,Good,Anything,Good,None,NA,Yes-FHA,NA,Slightly upward,Few foreclosures with few distress sales which helped hold up prices. Some reconditioning is improving neighborhood. Favorably affected by proximity to section A-2.,NA,NA
Pennsylvania,1932-34,"4200-7,500","5,000",62,27.50-40,32,NA,Sept. '37,"5000-10,000","6,000",75,35-50,40,NA,NA,NA,NA,NA,30,100,55,Poor,NA,Poor,Good,Anything,Good,None,NA,Yes FHA,NA,Slightly upward,This was a promotional development by a local operator who sold the lots to young business men of Altoona. The section has held up rather well and is considered a very desirable neighborhood. Heavy foreclosures in this area.,NA,NA
Pennsylvania,1932-34,2500-4500,3000,58,16-25,20,NA,Sept. '37,3000-4500,3800,75,22-30,25,NA,NA,NA,NA,NA,90,100,55,Poor,NA,Poor,Good,Anything,Good,No,None,Yes FHA,NA,Static,Entire area was developed by an operation builder. The section is a very desirable residential area for shopmen in R.R. repair plants. This is a modest neighborhood of fair housing.,NA,NA
Pennsylvania,1933-35,"500-25,000","15,000",50,Few Rental,Units,NA,July 1937,"15,00-35,000","22,500",75,NA,NA,NA,1929,NA,NA,NA,50,1000,over 90,Fair,"Singles about $15,000-25,000",Fair,Good,Limited no. of units,NA,"Singles - Brick $16,000",6 units,Yes,Yes,Upward,"The area is asristocractic. Pride of ownership is very good. All construction for specific individuals, no operative building.",W.A. Stoehr,########
Pennsylvania,34-'36,"6,000 - 30,000","12,000",60%,NA,NA,NA,Sept '37,"6,000 - 30,000","12,000",60%,$55-75,NA,NA,1929,NA,NA,NA,40,100,over 90,Fair,"Singles $6000 - 10,000",Fair,Good,Anything up to $75,Fair,None,NA,Yes,Yes,Static to slightly upward,"The majority of the homes are priced under $15,000. Considerable rivalry exists between this section and section A-3 and A-4 for choicest development.",NA,NA
Pennsylvania,34-'36,"5000 - 12,000",6500,77%,40 to 65,35,60%,Sept '37,"5000 - 12,000",6500,77%,40 to 65,50,82%,1929,NA,NA,NA,50,100,50,Fair,Singles $5000 - 7500,Fair,Good,Anything to $60,Good,$6500 - 9000 Brick singles,5 units,Yes,Yes,Static,"Property values taper off as they recede from the lake shore. Lincoln Ave. is a very old street but very desirable with homes up to 40 years of age. One man owns and controls a large percent of the properties in this section. On Maryland, south of Superior Ave. Shenley and Beverly Streets are new modern brick and frame cottages not quite up to the standard of the balance of the section.",NA,NA
Pennsylvania,34-'36,"6000 - 30,000","7,500",63%,30 - 65,40,67%,Sept '37,"6000 - 30,000","7,500",63%,40 - 75,50,83%,NA,NA,NA,NA,50,100,90,Fair,Singles $5000 - 8000,Fair,Good,Anything,Fair,"Brick singles $7000 - 10,000",6 units,Yes,Yes,Slightly upward,Continued building activity may be anticipated in this section - probably the most active of any area in Erie.,NA,NA
Pennsylvania,34-'36,"7,000 - 30,000","12,000",60%,NA,NA,NA,Sept '37,"7,000 - 30,000","12,000",60%,$55 - 75,NA,NA,1929,NA,NA,NA,40,100,over 90,Poor,"Singles $7000 - 10,000",Poor,Good,Few units available,Poor,Brick singles,1 to 2 units,Yes,Yes,Slightly upward,NA,NA,NA
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,34-'36,"2500 - 6,500",3800,63%,15 to 30,18,55%,Sept '37,"2500 - 6,500",3800,63%,20 to 40,25,80%,1929,NA,1929,NA,60,100,50,Fair,Singles up to $4000,Fair,Good,Anything,Good,None,NA,Yes,NA,Static,Favorably affected by proximity to sections A-1 and A-2.,NA,NA
Pennsylvania,34-'36,"2500 - 20,000",5500,60%,15 to 50,25,55%,Sept '37,"2500 - 20,000",5500,60%,25 to 75,35,78%,NA,NA,NA,NA,100,99,50,Fair,Singles $3500,Fair,Good,Anything up to $40,Good,None,NA,Yes,NA,Static,Considerable business of small nature scattered throughout section. Many wealthy people are moving out. Section is very spotty but retains its desirability as a residential area. Many good modern apartments in this section. Graded second grade principally because of location and stable demand for property. 6th and 10th were originally developed with very high grade homes which are still in excellent condition.,NA,NA
Pennsylvania,33-'36,"1500 - 9,000",3500,63%,15 - 35,20,67%,Sept '37,"1500 - 9,000",3500,63%,20 - 45,27,90%,1929,NA,1929,NA,90,99-100,60 - 65,Fair,Singles - $1500 - $3000,Fair and improving,Good,Anything up to $40,Good,Brick singles $5000,3 houses,50%,Yes,Slightly downward,Section is somewhat spotty with many original owners still living in section. Sales are poor but have improved since early 1937.,NA,NA
Pennsylvania,34-'36,"2000 - 9,000",4000,62%,15 to 30,20,67%,Sept '37,"2000 - 9,000",4000,62%,18 to 40,27,90%,NA,NA,NA,NA,75,99 100,60 - 65,Fair,Singles up to $4000,Fair and improving,Good,Anything up to $40,Good,Frame singles $5000,5 units,50%,Yes,Static,"Property south of 26th Street is considered to be more desirable than that on the north. There is considerable business on the dividing street. Hazel and Maple Streets are not good with foreign coming in. From Myrtle Street to Peach Street south of 26th, properties are below par of the section.",NA,NA
Pennsylvania,34-'36,"3000 - 10,000",5500,60%,25 to 45,30,60%,Sept '37,"3000 - 10,000",5500,60%,30 to 60,40,80%,NA,NA,NA,NA,30,99-100,65,Fair,Singles $3000 - 6000,Poor,Good,Anything,Fair,None,NA,Yes,Yes,Slightly upward,Section is building up slowly with fairly good houses.,NA,NA
Pennsylvania,1933-35,"9,000 & up","12,500",50,Very few rentals,NA,NA,July 1937,"10,000 & up","15,000",60,NA,NA,NA,NA,NA,NA,NA,90,100,80,Fair,Limited number offered,Fair,Good,""" "" available",NA,"Singles $20,000",5 units,Yes,Yes,Static to upward,A small section of good character well protected from encroachment.,J.C.R. Kelley,July 1937
Pennsylvania,1933-35,"5,000-12,500","7,000",57,45-65,55,65,July 1937,"6,000-15,000","8,000",67,50-75,65,75,NA,NA,NA,NA,95,100,55,Fair,"Singles under 10,000",Fair,Good,Anything,Good,"Singles 10,000-12,000",2-3 unit,Yes,Yes,Static,This is only a fair 1st grade section,J.R. Willison,NA
Pennsylvania,1933-36,9.000 '',"12,500",50,50-135,70,47,July 1937,"10,000 ''","15,000",60,60-150,80,53,1928,105,1929,100,95,100,70,Fair,"Singles $15,000",Fair improving,Good,"Anything open $21,500",Good,"Singles $17,5000-",25 units,Yes,Yes,Static to upward,"One of the best sections in city limits. Houses from $15,000 to $25,000 predominate. Section is threatened with Jewish encroachement from the south. Forbes St. frontage is expected to be zoned for apartments.",Ralph George,July 1937
Pennsylvania,1933-36,"9,000-22,500","12,500",50,65-90,70,53,July 1937,"10,000-25,000","15,000",60,70-100,80,60,1928,105,1929,100,95,100,60,Fair,"Singles $12,00-15,000",Fair - improving,Good,Anything,Good,"Singles $17,000-22,5000",15 units,yes,yes,Static to slightly upward.,About 50% of this section is older houses and 50% fairly new. Very little room for expansion or new building except on divided estates.,Ralph George,July 1937
Pennsylvania,1933-36,"8,000-22,000","12,500",42,65-135,65,52,July 1937,"10,00-25,00","15,000",50,75-150,75,50,1928,105,1929,100,98,100,65-75,Fair,"Singles, $10,000-$15,000",Fair-Improving,Good,Duplex $75-85,Good,"Singles $13,500-$15,00",10-12 units,Yes,Yes,Static,Most of the rental units are duplexes. New building is on subdivided ground of large estates and older houses.,Ralph George H.O.L.C. property - management broker,July 1937
Pennsylvania,1933-35,"11,000 -","20,000",60,Few,80,47,July 1937,"12,500 -","22,500",67,rentals,90,53,1926,105,1929,100,90,100,90,Fair,"Singles up to $20,000",Fair,Good,"Anything available $35,000",NA,"Singles-$25,000",7 units,Yes,Yes,Static,One of the few level sections in Pittsburgh. A very stable demand exists for property in this section. Large estates are being broken up and smaller units replacing very larg houses. Seciton is graded first grade because of activity and desirability of the area. Older houses at present are difficult to sell except where demolition is feasible and subdividing of ground profitable.,Ralph George H.O.L.C. property - management broker,July 1937
Pennsylvania,1923-34,"7,000-15,000","10,000",50,50-100,62.5,50,1937,"10,000-20,000","15,000",75,75-125,100,80,1929,NA,NA,NA,NA,100,90,Very Good,"Singles $12,000",Good,Good,"Anything to $100; $8600-18,000",Good,singles-brick & stone,5-6 units,Good,Good,improving,All new construction built for specific individuals. Large country club located here. Atmosphere in general very good.,W.A. Stoehr,########
Pennsylvania,1933-35,"6,000-45,000","9,000",60,Very few rental units,NA,NA,July 1937,"6,500-50,000","10,000",67,NA,NA,NA,NA,NA,NA,NA,60,100,Over 90,Good,"Singles up to 16,0000",Good,Good,Few units available,NA,"Sinngles 7,500-12,500",About 50 units,Yes,Yes,Upward,Activity only started in past 15 months. Principally F.H.A financing on new construction.,Gerald A. Born Property Mangement Broker,July 1937
Pennsylvania,1933-35,"8,000-40,000","20,000",50,Very few rentals,NA,NA,July 1937,"10,000-50,000","25,000",62,NA,NA,NA,NA,NA,NA,NA,90,100,Over 90,Fair,NA,Fair,Good,Few available,NA,"Singles $25,000",2-3 units,Yes,Yes,Static,Some of Pittsburgh wealthier people own homes in this section.,NA,NA
Pennsylvania,1933-35,"6,000-16,500","13,000",66,35-100,50,50,July 1937,"6,500-18,000","15,000",75,50-150,75,75,1929,100,1929,100,60,100,60,Fair,Singles 8000-12000,Fair,Good,Anything,Good,"Singles $8000-12,000",20-30 units,Yes,Yes,Static to upward,Recent letting of contract to pave Banksville road will add another outlet for heavy traffic into this area. The foreclosures were very heavy throughout Mt. Lebanon. About 80% of the homes were mortgaged in 1934.,J.C. Gibson,July 1937
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvannia,1935-1936,1500-6000,4000,6200%,$15-30,20,60,"Sept, 1937",1500-6000,4000,62,20-50,28,80,NA,NA,NA,NA,60,100,50,Fair,Singles $1500-4000,Fair,Good,Anything,NA,Very little,NA,Yes,yes,Static,NA,NA,NA
Pennsylvannia,1934-1936,2500-9000,4500,60,22-40,25,55,"Sept, 1937",2500-9000,4500,60,28-50,35,78,NA,NA,NA,NA,60,100,60,Fair,Singles upto $5000,Poor,Good,Anything,Good,None,NA,Yes,NA,Static,Considered a high class medium-priced neighborhood which is favorably affected by adjacent Glen-wood Park section.,NA,NA
Pennsylvannia,1934-1936,3000-18000,5500,65%,25-80,35,80,"Sept, 1937","3000-18,000",5500,65,25-80,35,80,NA,NA,NA,NA,25,100,80,Good,None for sale,Poor,Good,Anything,Good,Singles $6000,2 units,yes,yes,Static to slightly upward,properties fronting on the lake are very good,,
Virginia,NA,"1,000-1,500",NA,NA,2-18,NA,NA,NA,"1,000-1,500",NA,NA,8-12,NA,NA,1926,15000%,1926,150,100,100,20,none,NA,NA,fair,$8-$12,limited,none,NA,none,none,hazardous,NA,NA,NA
Virginia,NA,"1,000-3,000",NA,NA,10-25,NA,NA,NA,"1,000-3,000",NA,NA,15-25,NA,NA,1926,150,1926,150,60,100,25,none,NA,NA,fair,20,fair,none,NA,none,none,hazardous,NA,"Attempted development that failed ""Jerry-built""",NA
Virginia,NA,"500-1,500",NA,NA,7.5-15,NA,NA,NA,"500-1,500",NA,NA,10-20,NA,NA,1926,150,1926,150,100,100,20,none,NA,NA,good,$15,NA,none,NA,none,none,hazardous,NA,NA,NA
Virginia,NA,"1,500-2,500",NA,NA,10-20,NA,NA,NA,"1,500-2,500",NA,NA,15-20,NA,NA,1929,NA,1929,NA,20,100,40,poor,NA,NA,fair,$18,fair,none,NA,limited,limited,hazardous,Local predjudice against this area. Cheap construction. Unsuccessful attempt at suburban development.,NA,NA
Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,NA,NA,NA,NA,Owner Area,NA,NA,NA,"$15,000-25,000",NA,NA,Owner Area,NA,NA,1937,NA,1937,NA,10,100,100,Excellent,"$15,000",Excellent,Owner Area,NA,NA,"1 family $20,000",6,good,good,Probably upward,NA,NA,NA
Virginia,NA,NA,NA,NA,Owner Area,NA,NA,NA,"$15,000-25,000",NA,NA,Owner Area,NA,NA,1937,NA,1937,NA,10,100,100,Excellent,"15,000",Excellent,Owner Area,NA,NA,"1 family $20,000",6,good,good,Probably upward,NA,NA,NA
Virginia,NA,NA,NA,NA,Owner Area,NA,NA,NA,"$15,000-25,000",NA,NA,Owner Area,NA,NA,1937,NA,1937,NA,10,100,100,Excellent,"15,000",Excellent,Owner Area,NA,NA,"1 family $20,000",6,good,good,Probably upward,NA,NA,NA
Virginia,NA,NA,NA,NA,Owner Area,NA,NA,NA,"$15,000-25,000",NA,NA,Owner Area,NA,NA,1937,NA,1937,NA,10,100,100,Excellent,"15,000",Excellent,Owner Area,NA,NA,"1 family $20,000",6,good,good,Probably upward,NA,NA,NA
Virginia,NA,"3,500-4,500",3500,NA,20-40,NA,NA,NA,"4,000-6,000",4000,NA,35-45,NA,NA,1929,NA,1929,NA,20,100,95,good,"$4,500",good,good,$35,good,"$5,000",40,good,good,Still desireable,"A large percentage of current building is going on here at about $4,000-4,200 single family, brick veneer, hot water neat.",NA,NA
Virginia,NA,"5,000-10,000",NA,NA,35-60,NA,NA,NA,"6,000-12,000",NA,NA,45-75,NA,NA,1924,125,1924,125,90,100,90,good,"$7,500",good,good,$50,good,very little,limited,good,good,still desireable,Still desireable for 5 years. Residents would rather be in B-3 and A-1-2-3 or 4.,NA,NA
Virginia,NA,"5,000 - 10,000",NA,NA,40-50,NA,NA,NA,"7,000 - 12,000",NA,NA,50-60,NA,NA,1927,110,1927,110,75,100,95,good,"$7,500 - $8,000",good,good,$55,good,"$9,000",20,good,good,Still desirable,"Roanoke is R.H. center. A large area is bothered with train, noise and smoke. This section is free of this and several degrees cooler in summer months than other parts of the city. Along Broadway and along First Street, Second Street, and Third Street Broadway to Carolina and along Wellington Avenue, N & W R.R. to Third St. the property is older and generally in poorer condition than the balance of the area. Property on above mentioned streets is 3rd grade.",NA,NA
Virginia,NA,"2,000 - 4,500",NA,NA,15-30,NA,NA,NA,"2,500 - 5,000",NA,NA,20-35,NA,NA,1926,125,1925,129,90,100,60,limited,NA,NA,fair,$30,fair,none,NA,fair,fair,declining,Approach through negro and poor white sections. Tendency or desire of occupants is to move toward B-1.,NA,NA
Virginia,NA,"2,500 - 4,000",NA,NA,20-25,NA,NA,NA,"2,500 - 4,000",NA,NA,25-30,NA,NA,1929,NA,1929,NA,25,100,60,limited,"$3,000",poor,fair,$25,fair,none,NA,limited,limited,declining,Approach through negro section. Borderson undesirable section. Unsuccessful development. Outlook unfavorable because of local prejudice against foreign born and heavy traffic over arterial highway.,NA,NA
Virginia,NA,2500 to 4000,NA,NA,20-25,NA,NA,NA,2500 to 4500,NA,NA,25-30,NA,NA,1929,NA,1929,NA,25,100,60,limited,"$3,000",poor,fair,$25,Fair,none,NA,limited,limited,declining,Approach through negro section. Borderson undesirable section. Unsuccessful development. Outlook unfavorable because of local prejudice against foreign born and heavy traffic over arterial highway.,NA,NA
Virginia,NA,NA,NA,NA,Owner Area,NA,NA,NA,"10,000",NA,NA,Owner Area,NA,NA,1937,NA,NA,NA,80,100,100,good,"$10,000",fair,owner company,NA,NA,"1 family $10,000",none,good,good,Upward,NA,NA,NA
Virginia,1932,"5,500",NA,NA,NA,25,NA,NA,"8,000",NA,NA,NA,45,NA,1929,NA,1929,NA,70,100,90,fair,1 family,"Will rent, sell",good,""" "" $45",good,"1 family $10,000",5,good,good,static,NA,NA,NA
Virginia,NA,"2,000-6,000",NA,NA,10-30,NA,NA,NA,"2,500-7,000",NA,NA,20-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,slow,NA,NA,fair,NA,NA,none,NA,fair,fair,declining,NA,NA,NA
Virginia,NA,"1,250-3,500",NA,NA,6-15,NA,NA,NA,"1,250-4,000",NA,NA,12-30,NA,NA,NA,NA,NA,NA,80,100,75,None,NA,NA,Fair,25,NA,None,NA,limited,limited,hazardous,NA,NA,NA
Virginia,NA,"1,000-3,000",NA,NA,8-30,NA,NA,NA,"1,000-3,000",NA,NA,10-25,NA,NA,1926,150,1926,150,80,100,35,fair,"$2,500",fair,good,$20,good,none,NA,limited,limited,hazardous,NA,NA,NA